FINAL TOURNAMENT RESULTS
================================================================================

Final Rankings:
--------------------------------------------------------------------------------
Rank   Agent                               Score    W     D     L    
--------------------------------------------------------------------------------
1      Agent_21310941_21311189               107.5  107    1   18
2      Agent_21109103                        106.0  106    0   20
3      Agent_21315668                        102.0  102    0   24
4      Agent_21313611_21208396               100.0  100    0   26
5      Agent_21236226                         92.5   92    1   33
6      Agent_21312419_21230215                89.5   89    1   36
7      Agent_21302177_21308171                88.0   88    0   38
8      Agent_21312687                         82.0   82    0   44
9      Agent_21307829                         73.0   73    0   53
10     Agent_21307188                         69.5   68    3   55
11     Agent_3800567                          68.0   68    0   58
12     Agent_21306093_21221424                66.0   66    0   60
13     Agent_21106112_21205161                65.5   65    1   60
14     Agent_21327368_21308623                59.5   59    1   66
15     Agent_21311266_21304587                57.0   57    0   69
16     Agent_21301203_21310992                42.5   42    1   83
17     Agent_21232587                         42.0   42    0   84
18     Agent_21302088                         24.0   24    0  102
19     Agent_21412205                         20.0   20    0  106
20     Agent_21301999_21301130                16.0   16    0  110
21     Agent_21308191_21319030                 9.0    9    0  117
22     Agent_21307120_21307356                 6.5    6    1  119


PODIUM:
--------------------------------------------------------------------------------
    GOLD | Agent_21310941_21311189 - Score: 107.5
  SILVER | Agent_21109103 - Score: 106.0
  BRONZE | Agent_21315668 - Score: 102.0


Detailed Match Results:
--------------------------------------------------------------------------------
Agent_21313611_21208396 vs Agent_21311266_21304587 (Round 1, a1_black): 10
Agent_21313611_21208396 vs Agent_21311266_21304587 (Round 2, a1_black): -10
Agent_21313611_21208396 vs Agent_21109103 (Round 1, a1_black): -33
Agent_21109103 vs Agent_21313611_21208396 (Round 1, a2_black): 34
Agent_21313611_21208396 vs Agent_21109103 (Round 3, a1_black): -7
Agent_21109103 vs Agent_21313611_21208396 (Round 3, a2_black): 10
Agent_21109103 vs Agent_21313611_21208396 (Round 2, a2_black): -20
Agent_21313611_21208396 vs Agent_21109103 (Round 2, a1_black): 10
Agent_21311266_21304587 vs Agent_21313611_21208396 (Round 1, a2_black): -20
Agent_21313611_21208396 vs Agent_21311266_21304587 (Round 3, a1_black): 26
Agent_21311266_21304587 vs Agent_21313611_21208396 (Round 2, a2_black): -2
Agent_21311266_21304587 vs Agent_21313611_21208396 (Round 3, a2_black): -24
Agent_21313611_21208396 vs Agent_21306093_21221424 (Round 1, a1_black): 2
Agent_21306093_21221424 vs Agent_21313611_21208396 (Round 1, a2_black): -2
Agent_21313611_21208396 vs Agent_21306093_21221424 (Round 2, a1_black): 14
Agent_21313611_21208396 vs Agent_21306093_21221424 (Round 3, a1_black): -8
Agent_21306093_21221424 vs Agent_21313611_21208396 (Round 2, a2_black): -37
Agent_21306093_21221424 vs Agent_21313611_21208396 (Round 3, a2_black): -2
Agent_21313611_21208396 vs Agent_21315668 (Round 1, a1_black): 18
Agent_21315668 vs Agent_21313611_21208396 (Round 3, a2_black): 42
